time,open,high,low,close,volume,SMA
2015-12-17T00:00:00.000Z,112.019997,112.25,108.980003,108.980003,44772800,115.065714
2015-12-18T00:00:00.000Z,108.910004,109.519997,105.809998,106.029999,96453300,114.189285
2015-12-21T00:00:00.000Z,107.279999,107.370003,105.57,107.330002,47590600,113.474286
2015-12-22T00:00:00.000Z,107.400002,107.720001,106.449997,107.230003,32789400,112.827857
2015-12-23T00:00:00.000Z,107.269997,108.849998,107.199997,108.610001,32657400,112.357143
2015-12-24T00:00:00.000Z,109,109,107.949997,108.029999,13570400,111.571429
2015-12-28T00:00:00.000Z,107.589996,107.690002,106.18,106.82,26704200,110.752858
2015-12-29T00:00:00.000Z,106.959999,109.43,106.860001,108.739998,30931200,110.075000
2015-12-30T00:00:00.000Z,108.580002,108.699997,107.18,107.32,25213800,109.482143
2015-12-31T00:00:00.000Z,107.010002,107.029999,104.82,105.260002,40635300,108.702857
2016-01-04T00:00:00.000Z,102.610001,105.370003,102,105.349998,67649400,108.143572
2016-01-05T00:00:00.000Z,105.75,105.849998,102.410004,102.709999,55791000,107.445714
2016-01-06T00:00:00.000Z,100.559998,102.370003,99.870003,100.699997,68457400,106.746428
2016-01-07T00:00:00.000Z,98.68,100.129997,96.43,96.449997,81094400,105.682857
2016-01-08T00:00:00.000Z,98.550003,99.110001,96.760002,96.959999,70798000,104.824285
2016-01-11T00:00:00.000Z,98.970001,99.059998,97.339996,98.529999,49739400,104.288571
2016-01-12T00:00:00.000Z,100.550003,100.690002,98.839996,99.959999,49154200,103.762142
2016-01-13T00:00:00.000Z,100.32,101.190002,97.300003,97.389999,62439600,103.059285
2016-01-14T00:00:00.000Z,97.959999,100.480003,95.739998,99.519997,63170100,102.409999
2016-01-15T00:00:00.000Z,96.199997,97.709999,95.360001,97.129997,79010000,101.631427
2016-01-19T00:00:00.000Z,98.410004,98.650002,95.5,96.660004,53087700,100.905713
2016-01-20T00:00:00.000Z,95.099998,98.190002,93.419998,96.790001,72334400,100.052142
2016-01-21T00:00:00.000Z,97.059998,97.879997,94.940002,96.300003,52161500,99.264999
2016-01-22T00:00:00.000Z,98.629997,101.459999,98.370003,101.419998,65800500,98.990713
2016-01-25T00:00:00.000Z,101.519997,101.529999,99.209999,99.440002,51794500,98.568571
2016-01-26T00:00:00.000Z,99.93,100.879997,98.07,99.989998,75077000,98.374285
2016-01-27T00:00:00.000Z,96.040001,96.629997,93.339996,93.419998,133369700,97.854285
2016-01-28T00:00:00.000Z,93.790001,94.519997,92.389999,94.089996,55678800,97.685714
2016-01-29T00:00:00.000Z,94.790001,97.339996,94.349998,97.339996,64416500,97.712856
2016-02-01T00:00:00.000Z,96.470001,96.709999,95.400002,96.43,40943500,97.562856
2016-02-02T00:00:00.000Z,95.419998,96.040001,94.279999,94.480003,37357200,97.171428
2016-02-03T00:00:00.000Z,95,96.839996,94.080002,96.349998,45964300,97.097142
2016-02-04T00:00:00.000Z,95.860001,97.330002,95.190002,96.599998,46471700,96.888571
2016-02-05T00:00:00.000Z,96.519997,96.919998,93.690002,94.019997,46418100,96.666428
2016-02-08T00:00:00.000Z,93.129997,95.699997,93.040001,95.010002,54021400,96.548571
