Date,Message
2026-06-01T05:30:00.000+05:30,"OPSHEAD|time,open,high,low,close,volume,macd_line,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,tsi_25_13,triple_ema_9,sma_of_ema_10,ema_of_sma_10,rsi_of_ema_10"
2026-06-01T22:00:00.000+05:30,"OPS|1780331400000,70973,71240.75,70923.01,71231.07,20.91287339,-417.3533191837,-413.4675216162,-3.8857975675,71530.3315,72419.9360463476,70640.7269536524,-0.4670533567,71689.3950935668,71469.8661643141,71469.8629032462,1.5069510543"
2026-06-01T22:15:00.000+05:30,"OPS|1780332300000,71231.08,71497.11,71229.17,71461.09,42.14092838,-370.8890373328,-404.9518247595,34.0627874267,71484.324,72283.7483620568,70684.8996379432,-0.4037713768,71625.4567657172,71416.1634071661,71416.1607390196,6.9864958332"
2026-06-01T22:30:00.000+05:30,"OPS|1780333200000,71461.09,71530.31,71367.45,71484.14,8.36512701,-328.4199955713,-389.6454589219,61.2254633506,71460.2885,72228.7853764019,70691.7916235981,-0.3534710713,71570.8212456175,71374.3636967722,71374.3615137433,11.7853296114"
2026-06-01T22:45:00.000+05:30,"OPS|1780334100000,71486.86,71629.02,71367.45,71629.01,21.0443013,-279.8472705949,-367.6858212565,87.8385506616,71434.2995,72140.5376060032,70728.0613939967,-0.2991395971,71527.0963672113,71343.9095700864,71343.9077839718,18.3191401076"
2026-06-01T23:00:00.000+05:30,"OPS|1780335000000,71635.51,71669.88,71433.46,71614.89,20.58423798,-239.7289559199,-342.0944481892,102.3654922692,71405.4845,72027.8967310917,70783.0722689083,-0.2575475718,71494.2074737686,71323.096193707,71323.0947323405,23.0808778747"
2026-06-01T23:15:00.000+05:30,"OPS|1780335900000,71614.89,71694.73,71526.06,71553.68,9.55399733,-210.4481229875,-315.7651831488,105.3170601613,71376.879,71910.4970895181,70843.2609104819,-0.2281358535,71470.7628297551,71316.6127039421,71316.6115082786,25.7975498071"
2026-06-01T23:30:00.000+05:30,"OPS|1780336800000,71537.05,71586.19,71356.88,71378.25,35.08320162,-199.1034462115,-292.4328357614,93.3293895498,71357.9915,71862.545901663,70853.437098337,-0.2156131556,71453.8517817888,71315.5174850435,71315.5165067734,25.4711990683"
2026-06-01T23:45:00.000+05:30,"OPS|1780337700000,71380.63,71447.3,71281.87,71447.3,8.41721986,-182.4379194359,-270.4338524963,87.9959330604,71344.127,71822.1673292494,70866.0866707506,-0.1988227558,71441.9922697328,71322.6864877629,71322.68568736,26.006908494"
2026-06-02T00:00:00.000+05:30,"OPS|1780338600000,71462.79,71571.72,71400.19,71400.19,14.4056881,-171.0598808575,-250.5590581685,79.4991773111,71339.887,71814.3454081126,70865.4285918874,-0.1883836279,71433.6181151589,71339.8645808969,71339.8639260218,25.8241048165"
2026-06-02T00:15:00.000+05:30,"OPS|1780339500000,71402.04,71462.3,71303.85,71400.49,18.38276945,-160.1721311922,-232.4816727733,72.309541581,71330.3125,71791.5808225967,70869.0441774032,-0.1798135996,71427.6343507701,71361.7093843702,71361.7088485633,25.6674795754"
2026-06-02T00:30:00.000+05:30,"OPS|1780340400000,71400.49,71404.21,71326.25,71337.17,81.46737725,-154.8676876517,-216.958875749,62.0911880972,71319.772,71770.1691956127,70869.3748043873,-0.1771832379,71422.7730628465,71381.5114963029,71381.5110579154,25.0175606262"
2026-06-02T00:45:00.000+05:30,"OPS|1780341300000,71343.28,71539.01,71300,71539.01,7.82673996,-132.8457140784,-200.1362434148,67.2905293365,71326.457,71785.6177421747,70867.2962578253,-0.1544065539,71419.9219523143,71399.1299515206,71399.1295928399,28.3650768443"
2026-06-02T01:00:00.000+05:30,"OPS|1780342200000,71534.16,71574.52,71440.67,71550.56,10.48170455,-113.1567522864,-182.7403451892,69.5835929027,71335.66,71804.9291646355,70866.3908353645,-0.134625423,71419.4416724833,71414.7526876077,71414.7523941417,31.3448077185"
2026-06-02T01:15:00.000+05:30,"OPS|1780343100000,71540.33,71540.33,71424.6,71510.42,10.93820764,-99.6434431641,-166.1209647841,66.4775216201,71340.031,71814.0770765672,70865.9849234328,-0.1214320104,71420.953033694,71425.3787444063,71425.3785042977,32.8273764548"
2026-06-02T01:30:00.000+05:30,"OPS|1780344000000,71503.23,71503.23,71430.39,71477.94,5.96595716,-90.5115520493,-150.9990822372,60.4875301879,71344.4685,71821.9215072041,70867.0154927958,-0.1131082286,71423.7828292824,71431.5827908779,71431.5825944254,33.2675691311"
2026-06-02T01:45:00.000+05:30,"OPS|1780344900000,71477.94,71606.55,71435.37,71515.17,6.07863004,-79.355551295,-136.6703760487,57.3148247538,71371.5435,71822.4965424299,70920.5904575701,-0.1021609818,71427.7244618969,71435.9586470819,71435.958486348,34.6413053073"
2026-06-02T02:00:00.000+05:30,"OPS|1780345800000,71515.18,71584.57,71484.12,71505.09,5.26400802,-70.5148606607,-123.4392729711,52.9244123104,71389.4615,71831.6527924884,70947.2702075116,-0.0938230351,71432.4443495816,71441.8450748852,71441.8449433757,35.5300305126"
2026-06-02T02:15:00.000+05:30,"OPS|1780346700000,71504.81,71524.38,71317.25,71349.76,40.19237139,-75.1758026349,-113.7865789039,38.610776269,71406.7635,71812.8320203356,71000.6949796644,-0.1011421648,71436.4103607463,71444.8877885424,71444.8876809437,33.5416434053"
2026-06-02T02:30:00.000+05:30,"OPS|1780347600000,71349.77,71354.66,71059.86,71129.61,22.32704377,-95.5326568582,-110.1357944947,14.6031376366,71424.344,71740.4918325143,71108.1961674857,-0.1273884501,71437.1235190858,71442.4576451711,71442.4575571357,29.1161843362"
2026-06-02T02:45:00.000+05:30,"OPS|1780348500000,71129.61,71137,70990.75,71052,10.24077009,-116.5841790347,-111.4254714027,-5.158707632,71428.342,71722.7868083737,71133.8971916263,-0.1555040265,71433.0160601588,71434.1331642309,71434.133092202,25.3163481989"
2026-06-02T03:00:00.000+05:30,"OPS|1780349400000,71052,71069.88,70850.31,70923.58,17.11797399,-141.9932727168,-117.5390316655,-24.4542410512,71412.9675,71772.0300726844,71053.9049273156,-0.1893301703,71422.7921324384,71419.802407098,71419.8023481652,21.6856626724"
